CRUISE,STATION_NAME,HAUL_NAME,FOCI_GRID,DATE,TIME,LAT,LON,DEPTH_BOTTOM,DEPTH,PRESSURE,TEMPERATURE1,SALINITY1,CONDUCTIVITY1,SIGMA_T,INSTRUMENT,DIRECTORY,CONDUCTIVITY2,FLOUROMETER,OXYGEN1,OXYGEN2,PAR,PH,POTENTIAL_DENSITY,SALINITY2,TEMPERATURE2,TRANS,COMMENTS_SEACAT_CTD,GEAR_NAME,NET
DY15-05,1,2,GR135,2015-05-15,23:23:00,55.4135,-159.848666666667,104,103,104,5.1549,31.8389,30.889732,25.1529,Fcat,/Users/ncf/Documents/Programming/R/Nissa's R Packages/FastrCAT/FastrCAT/inst/extdata//BON001.up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CAT,0
DY15-05,1,2,GR135,2015-05-15,23:23:00,55.4135,-159.848666666667,104,102,103,5.1553,31.8385,30.889315,25.1526,Fcat,/Users/ncf/Documents/Programming/R/Nissa's R Packages/FastrCAT/FastrCAT/inst/extdata//BON001.up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CAT,0
DY15-05,1,2,GR135,2015-05-15,23:23:00,55.4135,-159.848666666667,104,101,102,5.1554,31.8384,30.888874,25.1525,Fcat,/Users/ncf/Documents/Programming/R/Nissa's R Packages/FastrCAT/FastrCAT/inst/extdata//BON001.up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CAT,0
DY15-05,1,2,GR135,2015-05-15,23:23:00,55.4135,-159.848666666667,104,100,101,5.1565,31.8378,30.888897,25.1519,Fcat,/Users/ncf/Documents/Programming/R/Nissa's R Packages/FastrCAT/FastrCAT/inst/extdata//BON001.up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CAT,0
DY15-05,1,2,GR135,2015-05-15,23:23:00,55.4135,-159.848666666667,104,99,100,5.1575,31.8375,30.889017,25.1515,Fcat,/Users/ncf/Documents/Programming/R/Nissa's R Packages/FastrCAT/FastrCAT/inst/extdata//BON001.up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CAT,0
DY15-05,1,2,GR135,2015-05-15,23:23:00,55.4135,-159.848666666667,104,98,99,5.158,31.8373,30.888865,25.1513,Fcat,/Users/ncf/Documents/Programming/R/Nissa's R Packages/FastrCAT/FastrCAT/inst/extdata//BON001.up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CAT,0
DY15-05,1,2,GR135,2015-05-15,23:23:00,55.4135,-159.848666666667,104,97,98,5.1583,31.8373,30.888626,25.1513,Fcat,/Users/ncf/Documents/Programming/R/Nissa's R Packages/FastrCAT/FastrCAT/inst/extdata//BON001.up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CAT,0
DY15-05,1,2,GR135,2015-05-15,23:23:00,55.4135,-159.848666666667,104,96,97,5.1595,31.8369,30.888876,25.1508,Fcat,/Users/ncf/Documents/Programming/R/Nissa's R Packages/FastrCAT/FastrCAT/inst/extdata//BON001.up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CAT,0
DY15-05,1,2,GR135,2015-05-15,23:23:00,55.4135,-159.848666666667,104,95,96,5.1604,31.8364,30.888763,25.1504,Fcat,/Users/ncf/Documents/Programming/R/Nissa's R Packages/FastrCAT/FastrCAT/inst/extdata//BON001.up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CAT,0
DY15-05,1,2,GR135,2015-05-15,23:23:00,55.4135,-159.848666666667,104,94,95,5.1611,31.8359,30.888489,25.1499,Fcat,/Users/ncf/Documents/Programming/R/Nissa's R Packages/FastrCAT/FastrCAT/inst/extdata//BON001.up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CAT,0
DY15-05,1,2,GR135,2015-05-15,23:23:00,55.4135,-159.848666666667,104,93,94,5.1626,31.8347,30.888241,25.1488,Fcat,/Users/ncf/Documents/Programming/R/Nissa's R Packages/FastrCAT/FastrCAT/inst/extdata//BON001.up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CAT,0
DY15-05,1,2,GR135,2015-05-15,23:23:00,55.4135,-159.848666666667,104,92,93,5.1639,31.8335,30.887808,25.1477,Fcat,/Users/ncf/Documents/Programming/R/Nissa's R Packages/FastrCAT/FastrCAT/inst/extdata//BON001.up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CAT,0
DY15-05,1,2,GR135,2015-05-15,23:23:00,55.4135,-159.848666666667,104,91,92,5.1702,31.8268,30.886868,25.1417,Fcat,/Users/ncf/Documents/Programming/R/Nissa's R Packages/FastrCAT/FastrCAT/inst/extdata//BON001.up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CAT,0
DY15-05,1,2,GR135,2015-05-15,23:23:00,55.4135,-159.848666666667,104,90,91,5.2224,31.8192,30.923328,25.1299,Fcat,/Users/ncf/Documents/Programming/R/Nissa's R Packages/FastrCAT/FastrCAT/inst/extdata//BON001.up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CAT,0
DY15-05,1,2,GR135,2015-05-15,23:23:00,55.4135,-159.848666666667,104,89,90,5.2226,31.8192,30.922997,25.1298,Fcat,/Users/ncf/Documents/Programming/R/Nissa's R Packages/FastrCAT/FastrCAT/inst/extdata//BON001.up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CAT,0
DY15-05,1,2,GR135,2015-05-15,23:23:00,55.4135,-159.848666666667,104,88,89,5.2245,31.8193,30.924282,25.1297,Fcat,/Users/ncf/Documents/Programming/R/Nissa's R Packages/FastrCAT/FastrCAT/inst/extdata//BON001.up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CAT,0
DY15-05,1,2,GR135,2015-05-15,23:23:00,55.4135,-159.848666666667,104,87,88,5.2371,31.8209,30.935833,25.1296,Fcat,/Users/ncf/Documents/Programming/R/Nissa's R Packages/FastrCAT/FastrCAT/inst/extdata//BON001.up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CAT,0
DY15-05,1,2,GR135,2015-05-15,23:23:00,55.4135,-159.848666666667,104,86,87,5.2606,31.8222,30.956182,25.128,Fcat,/Users/ncf/Documents/Programming/R/Nissa's R Packages/FastrCAT/FastrCAT/inst/extdata//BON001.up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CAT,0
DY15-05,1,2,GR135,2015-05-15,23:23:00,55.4135,-159.848666666667,104,85,86,5.253,31.8177,30.945486,25.1253,Fcat,/Users/ncf/Documents/Programming/R/Nissa's R Packages/FastrCAT/FastrCAT/inst/extdata//BON001.up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CAT,0
DY15-05,1,2,GR135,2015-05-15,23:23:00,55.4135,-159.848666666667,104,84,85,5.2517,31.8149,30.941494,25.1232,Fcat,/Users/ncf/Documents/Programming/R/Nissa's R Packages/FastrCAT/FastrCAT/inst/extdata//BON001.up,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,CAT,0
